연도,역번호,역명,1월 승차,1월 하차,2월 승차,2월 하차,3월 승차,3월 하차,4월 승차,4월 하차,5월 승차,5월 하차,6월 승차,6월 하차,7월 승차,7월 하차,8월 승차,8월 하차,9월 승차,9월 하차,10월 승차,10월 하차,11월 승차,11월 하차,12월 승차,12월 하차
2020년,1101,판암,128432,112353,100092,87988,71716,64084,84142,74939,101009,89941,95301,85491,90156,80844,89795,80053,87751,78304,98978,87464,102678,91241,89293,80396
2020년,1102,신흥,56982,49665,45140,39334,32004,27875,36001,31313,42183,37082,40735,36610,39215,34641,38269,33873,37124,33216,40214,35722,42478,38159,37774,34220
2020년,1103,대동,128125,111533,98494,86686,65793,58454,78283,69118,97264,84747,99876,86847,95668,83088,90384,77689,88661,76719,101497,88127,109822,95699,91064,80634
2020년,1104,대전,334026,327258,227907,223965,145123,144227,189409,188431,250287,243862,232225,230975,230042,229271,223264,219631,206959,210561,239754,234936,255096,249987,192306,193443
2020년,1105,중앙로,186599,207634,135093,148384,77624,85910,99793,112023,131212,148421,116007,128223,112863,125416,117901,129749,100549,112475,120901,135790,128255,142892,106034,114487
2020년,1106,중구청,65789,70913,49642,54169,35769,38308,41141,44478,48683,53046,50938,53638,49406,51963,46243,48380,44971,46492,49124,51877,54104,56643,47048,49033
2020년,1107,서대전네거리,195727,206843,150934,157877,97774,102279,115110,119196,138647,145223,133822,140139,127685,134182,122358,128436,117795,123864,134263,140348,143538,150105,124825,130660
2020년,1108,오룡,124935,114486,99297,92407,69316,63824,78203,72503,94757,87063,96178,87532,92427,84049,85224,77808,84949,76711,93248,84214,99587,90934,89257,82464
2020년,1109,용문,215117,219133,161984,163355,97435,97672,115539,115511,140200,140848,134182,133865,130318,129474,125334,125672,122520,122180,137027,137480,144824,145614,127065,128585
2020년,1110,탄방,148694,160913,115657,126219,77052,84329,88697,97298,104394,114450,104649,114569,103171,112914,96257,105868,92609,101611,102493,112143,108868,119778,97740,106250
2020년,1111,시청,229647,240866,182695,191688,116903,121941,136378,142378,164595,173226,156422,166285,160643,171690,151145,158616,142980,150492,154564,165243,167048,177872,147267,153878
2020년,1112,정부청사,186679,200239,148639,160014,101635,110765,114854,123820,137092,148250,137323,149762,135875,148916,123382,135623,123829,134879,137530,150234,148148,161536,128054,137786
2020년,1113,갈마,91645,90480,69244,68864,44121,43567,53922,53223,66916,66213,63563,62627,61885,60383,59405,58368,57408,55533,65436,64407,70188,69048,59583,58677
2020년,1114,월평,112871,112888,85100,84009,52019,51219,63064,62184,74847,74260,72835,71479,72248,69889,68898,68244,68327,66381,74892,74432,80699,79627,71526,71208
2020년,1115,갑천,28106,27546,22839,22154,16869,16022,19651,19034,23372,22570,22544,21418,20839,19785,19365,18732,20099,19308,22755,22101,23769,23177,20937,20242
2020년,1116,유성온천,275787,283679,206932,212988,127497,129949,152974,156327,193167,197669,186033,190814,179429,183464,172804,178311,164797,167547,187717,194832,209172,216417,173429,178076
2020년,1117,구암,73874,73272,55986,55453,37043,36740,46021,45758,56824,55828,54949,53842,51602,50012,49323,48522,51295,50144,56274,55229,59456,58400,50622,48934
2020년,1118,현충원,62740,48412,45240,35353,29934,24833,37736,30618,47357,38773,44604,36613,41473,34042,39742,32321,39515,32936,47489,39913,47850,39737,36247,29524
2020년,1119,월드컵경기장,78014,69632,60104,53613,41544,37440,48933,43818,59232,53035,60981,54938,59033,51973,55713,49861,54150,49059,59474,53408,64803,58354,56012,50391
2020년,1120,노은,121305,128308,93228,98464,58535,62154,70214,74442,86650,91685,86449,91449,86887,92687,82112,87028,77161,81229,84823,89325,90618,95673,78943,83055
2020년,1121,지족,78454,75856,63112,61533,42955,41829,45483,43831,54258,51867,53580,51547,52611,51046,47137,45188,45460,43573,49112,46567,52154,49408,43338,41743
2020년,1122,반석,219270,199901,173934,159166,112692,103645,134244,123919,165163,152487,164402,152707,163719,151397,150538,140154,146050,136112,165914,152882,174927,160535,150959,139894
2021년,1101,판암,87780,79156,87565,77467,107780,96539,103133,92681,103473,92716,105545,94961,100286,89934,90574,82078,97183,87862,105876,95900,,,,
2021년,1102,신흥,36850,32932,35169,31175,42813,38717,40405,36836,40218,36482,41548,37877,40066,36366,36109,33081,37630,34563,41001,37992,,,,
2021년,1103,대동,85414,76590,80623,72030,111367,99084,99606,90263,103230,92037,102656,91243,94541,83546,84242,75804,93545,83210,103450,91473,,,,
2021년,1104,대전,195580,192265,201271,200097,257136,249530,244580,243421,260989,252109,254750,249556,234261,231492,217232,211401,231818,227542,268212,261149,,,,
2021년,1105,중앙로,107961,117605,114053,124374,130453,145486,118001,129530,130372,145295,126023,139491,126945,138107,111080,119884,118545,129915,131797,144743,,,,
2021년,1106,중구청,44321,46393,41206,43038,54329,56864,52058,54754,50363,53574,53256,55873,50271,52917,43332,45546,45945,48253,51414,53856,,,,
2021년,1107,서대전네거리,124872,130630,120089,125156,147869,154017,139943,146969,138604,145812,141641,149938,132928,140811,116692,123806,126306,132423,142096,149730,,,,
2021년,1108,오룡,87335,81382,81881,76149,101233,92577,97633,89357,94257,87303,97285,89031,89762,83115,79875,75064,85595,79096,95384,86794,,,,
2021년,1109,용문,123879,124844,119589,121112,147914,148784,143171,143278,142045,142241,145306,145412,137127,137937,121572,121783,128139,128359,144065,144624,,,,
2021년,1110,탄방,101074,108158,93019,100804,112444,122617,108766,117410,106595,115796,110655,120182,105718,113292,93360,99850,94289,102900,104574,114111,,,,
2021년,1111,시청,161858,166260,154030,158525,176640,186177,166701,172227,163721,170228,169202,174930,167941,171294,153430,154616,153159,157129,168627,173263,,,,
2021년,1112,정부청사,128728,140759,123488,134664,148753,162577,145144,154536,138722,150932,142969,156202,134117,144766,120447,130357,128279,140352,144035,158843,,,,
2021년,1113,갈마,60998,60104,59994,59547,72786,72040,70148,68522,70310,69424,70348,69334,65391,65036,58455,58023,64271,63298,72516,71576,,,,
2021년,1114,월평,70643,70540,69008,68001,85431,84648,80709,80411,80695,80353,79523,79033,74366,74975,67858,68468,73882,73654,82468,82031,,,,
2021년,1115,갑천,20778,19898,19740,18976,23662,22834,23919,22974,23538,22535,24124,22671,22013,20803,20370,19704,21238,20659,24654,23827,,,,
2021년,1116,유성온천,173023,178888,168998,175252,211765,218487,199518,205425,201731,207862,202918,208295,189308,194979,165797,171957,178873,183717,203975,210939,,,,
2021년,1117,구암,49130,47453,47503,46580,62202,61058,60732,59437,58061,57946,58646,58066,52057,51570,54151,52438,66508,66122,75249,75020,,,,
2021년,1118,현충원,34624,28254,35808,28629,47118,39572,47048,39548,50284,41962,51261,43103,45273,37156,40530,33530,45053,37811,53746,45121,,,,
2021년,1119,월드컵경기장,54857,49598,52762,46898,65731,58802,63280,56947,61921,55583,65169,58357,60901,54283,54463,49033,59507,53280,65309,58788,,,,
2021년,1120,노은,83630,88657,81036,85500,96430,101645,91316,96938,92426,97747,93814,99408,90660,96050,82610,87822,87111,92085,97342,101348,,,,
2021년,1121,지족,43033,41138,41539,39359,56098,53898,50987,48760,51740,49761,50699,48457,45447,43298,40687,39405,47516,45196,52227,49580,,,,
2021년,1122,반석,153266,142114,149550,138191,181972,168026,173272,162312,171659,160469,175370,164831,165378,157004,148328,142024,157723,148190,178311,167822,,,,
